index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
264,Ryukyu Flying Fox,Endangered Mammals of Asia,Pteropus dasymallus,Mammals,NT-IUCN: 2008,"China, Japan, Philippines, Taiwan",Ryukyu Fruit Bat
265,Ryukyu Rabbit,Endangered Mammals of Asia,Pentalagus furnessi,Mammals,"EN-US FWS: June 25, 1979EN-IUCN: 2008",Japan (Ryukyu Islands),Amami Rabbit
266,Ryukyu Tube-nosed Bat,Endangered Mammals of Asia,Murina ryukyuana,Mammals,EN-IUCN: 2008,Japan,NA
267,Sado Mole,Endangered Mammals of Asia,Mogera tokudae,Mammals,NT-IUCN: 2008,Japan,Tokuda's Mole
268,Saiga Antelope,Endangered Mammals of Asia,Saiga tatarica,Mammals,"CR-IUCN: 2008EN-US FWS: June 14, 1976","Kazakhstan, Mongolia, Russia, Turkmenistan, Uzbekistan","Mongolian Antelope or Mongolian Saiga (S. t. mongolica), US FWS"
269,Sakhalin Vole,Endangered Mammals of Asia,Microtus sachalinensis,Mammals,NT-IUCN: 2008,Russia,NA
270,Sambar Deer,Endangered Mammals of Asia,Rusa unicolor,Mammals,VU-IUCN: 2008,"Africa, Asia, Australia, Central America, North America (United States)",Cervus unicolor
271,Sand Cat,Endangered Mammals of Asia,Felis margarita,Mammals,"NT-IUCN: 2008EN-US FWS: January 23, 1984","Africa, Asia, Europe, Middle East","Sand Dune Cat, Pakistan Sand Cat (F. m. scheffeli) US FWS"
272,Saola,Endangered Mammals of Asia,Pseudoryx nghetinhensis,Mammals,CR-IUCN: 2008,"Laos, Vietnam","Vu Quang Ox, Vu Quang Bovid"
273,Sea Otter,Endangered Mammals of Asia,Enhydra lutris,Mammals,EN-IUCN: 2011,"Canada, Japan, Mexico, Russia, United States",NA
274,Seladang,Endangered Mammals of Asia,Bos gaurus,Mammals,"VU-IUCN: 2008EN-US FWS: June 2, 1970","Bangladesh, India, Southeast Asia","Guar, Indian Bison, Mithun, Bibos gauris (formerly)"
